coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
"73.2,22.3",Sun Apr 12 07:03:28 +0000 2020,,,https://www.instagram.com/p/B-3yo_2HXT8/?igshid=1lsebjux4po6c,0,1249231644176855040,,,,en,"वड़ोदरा, भारत",true,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","National Art Competition || COVID-19
AWARENESS CAMPAIGN'S
Students artist -: Name -Tia Tolani
Title --: corona warriors
Medium :- oilpestal
size -: A3
Prize-:@
Address :- 29 kanha residency, vadlaroad, Tarsali… https://t.co/05YqIQLSpW",https://twitter.com/kalabindu/status/1249231644176855040,Thu Mar 08 11:53:28 +0000 2018,kalabindu,false,"Welcome to Kalabindu
Problem and Solution for every artist. A place to promote your art and to expand your reach to millions people worldwide.🙂🙂🙂🙂🙂🙂",18,69,1024,0,"Bhagalpur,bihar,India",kalabindu,kalabindu,369,,http://www.kalabindu.com,false
"35.0013,32.7919",Sun Apr 12 08:01:12 +0000 2020,,,https://www.instagram.com/p/B-35P85nlQW/?igshid=1n7icik5e0jcb,1,1249246172910411777,,,,en,ישראל,false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Dear Friends,
As this Passover and Easter we cannot fly to Paris because of the Corona, I am sending you my latest painting- PARIS BY NIGHT. Enjoy ! @ Haifa, Israel https://t.co/8LFwTteaiu",https://twitter.com/AharoniAda/status/1249246172910411777,Sun Apr 22 10:27:23 +0000 2012,AharoniAda,false,"Author, Sociologist, Peace researcher. CEO IFLAC. Received  President Shimon Peres Award for Peace Culture. Bestseller FROM THE NILE TO THE JORDAN.  Amazon.",3152,222,982,22,"Haifa, Israel",Ada Aharoni,AharoniAda,4534,,http://www.iflac.wordpress.com,false
"5.74093,50.87858",Sun Apr 12 07:16:07 +0000 2020,fotonique_ nicobastens documentaryphotography candid photography photojournalism coronavirusnederland corona,,https://www.instagram.com/p/B-30FjPFjC7/?igshid=mjfm36d2kyvk,0,1249234826982346752,,,,en,"Meerssen, Nederland",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Stay at home and get a good massage ...⁣

© fotonique | Nico Bastens Photography ⁣⁣
⁣⁣
#fotonique_ ⁣⁣
#nicobastens ⁣⁣
#documentaryphotography #candid #photography #photojournalism #coronavirusnederland #corona… https://t.co/i2wkcSvPCI",https://twitter.com/fotonique/status/1249234826982346752,Thu Jun 24 07:59:22 +0000 2010,fotonique,false,Autonomous Photographer & Financial,17,34,53,1,"Meerssen, Netherlands",Nico Bastens,fotonique,246,,http://www.fotonique.nl,false
"90,60",Sun Apr 12 07:45:27 +0000 2020,StayAtHome CovidRussia,,https://corona-scanner.com/country/russia,0,1249242212648595456,neilellis,1249242209985138700,14292054,en,"Енисейский район, Россия",false,0,,,"<a href=""http://google.com"" rel=""nofollow"">t_client_cli_neilellis</a>","🇷🇺 Russia

10 day forecast of 519 dead.  Cases double every 4.0 days.

❤️ Every Life Counts, Pls #StayAtHome

📈: https://t.co/vBNColH3iP

🕗 12/04 #CovidRussia

3/4",https://twitter.com/neilellis/status/1249242212648595456,Thu Apr 03 10:13:37 +0000 2008,neilellis,false,"I am a computer programmer, who also spends a lot of time on his allotment.

The end of the world, is not the end of the world.",32584,552,260,60,UK,Neil Ellis,neilellis,34706,,,false
"72.86870956,19.21499666",Sun Apr 12 05:33:23 +0000 2020,,,http://www.physiocureclinics.com https://www.instagram.com/p/B-3oVZUgjgw/?igshid=n1a3pldk0c4i,0,1249208974878138368,,,,en,"मुंबई, भारत",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Online Consultation is your health solution during Corona Lockdown Period..Watch video in our you tube channel 
Follow us on social media 
(https://t.co/nTJeocxN5I)

Youtube… https://t.co/0pBo5UVTZD",https://twitter.com/shriwasamit/status/1249208974878138368,Wed Feb 24 17:27:01 +0000 2010,shriwasamit,false,Ortho & Sports Physiotherapist,132,150,140,1,"Kandivali East, Mumbai",Dr Amit Shriwas,shriwasamit,863,,http://www.physiocureclinics.com,false
"3.2580493,6.7306272",Sun Apr 12 07:29:06 +0000 2020,,,,0,1249238096270561283,,,,en,"Otta, Nigeria",,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","""@SAMKLEF: So no pastors fit do miracles for corona virus.""RT haha their healing school is not working now.",https://twitter.com/howolahbi/status/1249238096270561283,Mon Apr 04 23:54:37 +0000 2011,howolahbi,false,"CINEMATOGRAPHER, EVENT COVERAGE, PHOTOGRAPHY, GAFFER/LIGHT DESIGNER, CREW & MEDIA KONSULTANT. 07087977969",145,216,536,5,GoodPeopleGreatNation'sCountry,Made in AGEGE,howolahbi,9423,,"http://www.facebook.com/AsiwajuOwolabiAmodu.hotline+234(0)7087977969,07066414309",false
"4.70898148,50.87555246",Sun Apr 12 06:07:39 +0000 2020,lemustache coffee coffeebar easter eastereggs eastersunday weekend corona stayhome staysafe paashaas,,https://www.instagram.com/p/B-3sQYGlqAX/?igshid=n3frkip96o1r,1,1249217600204218368,,,,en,"Leuven, België",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Happy Easter 🐇🥚🐣

.
.
.
#lemustache #coffee #coffeebar #easter #eastereggs #eastersunday #weekend #corona #stayhome #staysafe #paashaas @ Le Mustache https://t.co/Rr7QH9LcUs",https://twitter.com/l_mustache/status/1249217600204218368,Tue Dec 23 10:20:14 +0000 2014,l_mustache,false,koffie thee lunch tiensestraat 129 leuven,101,115,159,10,,LeMustache,l_mustache,1172,,https://www.facebook.com/lemustacheleuven,false
"-51.9253,-14.235",Sun Apr 12 07:19:17 +0000 2020,StayAtHome CovidBrazil,,https://corona-scanner.com/country/brazil,0,1249235626798526465,neilellis,1249235625607299000,14292054,en,"Nova Nazaré, Brasil",false,0,,,"<a href=""http://google.com"" rel=""nofollow"">t_client_cli_neilellis</a>","🇧🇷 Brazil

10 day forecast of 3,408 dead. This wave may last 148 days and see 1,237,905 cases and 17,331 deaths. Cases double every 5.9 days.

❤️ Every Life Counts, Pls #StayAtHome

📈: https://t.co/DPMA4gUEyd

🕗 12/04 #CovidBrazil

3/4",https://twitter.com/neilellis/status/1249235626798526465,Thu Apr 03 10:13:37 +0000 2008,neilellis,false,"I am a computer programmer, who also spends a lot of time on his allotment.

The end of the world, is not the end of the world.",32584,552,260,60,UK,Neil Ellis,neilellis,34706,,,false
"80.0166,9.6647",Sun Apr 12 07:11:40 +0000 2020,Home garden Corona Quarantine individualism economy Greenworld garden,,https://www.instagram.com/p/B-3zhP_BjNc/?igshid=ox8ulmgcvexg,0,1249233710739791872,,,,en,Sri Lanka,false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","#Home #garden start-up during #Corona #Quarantine days , It's time to #individualism economy model  from home to world .Get ready new #economy model transformation.

#Greenworld #garden… https://t.co/owfdfrgvuF",https://twitter.com/mvigneswaranm/status/1249233710739791872,Wed Sep 05 17:25:16 +0000 2012,mvigneswaranm,false,"Innovations to inspire the community By
Instagram  @inno_group_  
@innohands foundation @madebuysrilankan
🚵https://t.co/iusvLXbNIx
+94777241441",177,57,131,2,srilanka,vigneswaran muttudurai,mvigneswaranm,4519,,http://madebuysrilankan.com,false
"115.18296192,-8.64216421",Sun Apr 12 08:29:18 +0000 2020,bali tripsbali airporttransfer airport,,https://www.instagram.com/p/B-38dpMH7Lh/?igshid=3zwu00pzv5v8,0,1249253248009207808,,,,en,"Denpasar Barat, Indonesia",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Bali Airport Transfer
Will you be in Bali ahen corona virus over.?? Book your transport or tour with our service

#bali #tripsbali #airporttransfer #airport @ Trips Bali https://t.co/O18CNmGNBC",https://twitter.com/trips_bali/status/1249253248009207808,Fri Jan 09 09:44:57 +0000 2015,trips_bali,false,Trips Bali is Tours & Activities Service,19,6,168,0,"Denpasar,Bali",Trips Bali,trips_bali,261,,https://tripsbali.com,false
